uid,iid,rating,time,timestamp
1,1,3,2005-09-06,1125936000
2,1,5,2005-05-13,1115913600
3,1,4,2005-10-19,1129651200
4,1,4,2005-12-26,1135526400
5,1,3,2004-05-03,1083513600
6,1,3,2005-11-17,1132156800
7,1,4,2004-08-05,1091635200
8,1,3,2004-04-22,1082563200
9,1,4,2004-05-09,1084032000
10,1,3,2005-05-11,1115740800
11,1,4,2005-05-19,1116432000
12,1,5,2005-06-06,1117987200
13,1,3,2004-08-12,1092240000
14,1,3,2004-04-14,1081872000
15,1,4,2004-05-28,1085673600
16,1,4,2004-03-23,1079971200
17,1,4,2004-06-10,1086796800
18,1,3,2004-12-28,1104163200
19,1,4,2005-05-08,1115481600
20,1,5,2005-11-23,1132675200
21,1,3,2005-03-28,1111939200
22,1,3,2005-12-19,1134921600
23,1,4,2004-12-14,1102953600
24,1,4,2004-04-06,1081180800
25,1,3,2004-02-01,1075564800
26,1,4,2004-02-06,1075996800
27,1,4,2004-02-26,1077724800
28,1,5,2005-09-29,1127923200
29,1,4,2005-10-31,1130688000
30,1,5,2005-08-24,1124812800
31,1,5,2005-03-23,1111507200
32,1,3,2004-11-16,1100534400
33,1,4,2004-03-07,1078588800
34,1,4,2004-03-29,1080489600
35,1,5,2005-05-09,1115568000
36,1,3,2005-09-12,1126454400
37,1,2,2004-07-11,1089475200
38,1,4,2004-04-12,1081699200
39,1,4,2004-08-20,1092931200
40,1,2,2004-02-26,1077724800
41,1,1,2005-01-19,1106064000
42,1,2,2005-05-24,1116864000
43,1,4,2005-06-03,1117728000
44,1,3,2004-08-29,1093708800
45,1,3,2004-05-01,1083340800
46,1,5,2005-10-06,1128528000
47,1,5,2005-10-29,1130515200
48,1,4,2005-12-30,1135872000
49,1,5,2005-08-16,1124121600
50,1,3,2004-05-18,1084809600
51,1,1,2005-05-19,1116432000
52,1,4,2005-02-15,1108396800
53,1,3,2005-03-31,1112198400
54,1,3,2005-09-12,1126454400
55,1,4,2004-04-08,1081353600
56,1,2,2004-06-05,1086364800
57,1,3,2004-07-16,1089907200
58,1,4,2004-07-13,1089648000
59,1,3,2005-08-13,1123862400
60,1,3,2004-04-17,1082131200
61,1,4,2004-11-08,1099843200
62,1,5,2005-05-06,1115308800
63,1,4,2005-10-29,1130515200
64,1,5,2004-07-20,1090252800
65,1,1,2005-11-01,1130774400
66,1,5,2005-07-12,1121097600
67,1,2,2005-02-03,1107360000
68,1,4,2004-12-08,1102435200
69,1,5,2005-06-01,1117555200
70,1,4,2005-12-16,1134662400
71,1,4,2004-04-19,1082304000
72,1,2,2004-03-01,1078070400
73,1,4,2005-02-03,1107360000
74,1,4,2005-06-02,1117641600
75,1,3,2005-11-08,1131379200
76,1,4,2004-05-11,1084204800
77,1,5,2004-09-15,1095177600
78,1,5,2005-02-01,1107187200
79,1,5,2005-05-26,1117036800
80,1,5,2005-09-20,1127145600
81,1,1,2005-10-05,1128441600
82,1,3,2004-06-03,1086192000
83,1,4,2004-10-30,1099065600
84,1,3,2005-09-12,1126454400
85,1,2,2004-02-09,1076256000
86,1,1,2004-11-18,1100707200
87,1,5,2005-01-30,1107014400
88,1,3,2005-08-03,1122998400
89,1,4,2005-08-09,1123516800
90,1,2,2005-08-19,1124380800
91,1,4,2005-01-25,1106582400
92,1,4,2005-09-01,1125504000
93,1,4,2004-09-27,1096214400
94,1,1,2005-09-26,1127664000
95,1,4,2004-12-30,1104336000
96,1,3,2005-02-05,1107532800
97,1,3,2004-07-11,1089475200
98,1,4,2005-05-28,1117209600
99,1,4,2005-07-06,1120579200
100,1,5,2005-03-10,1110384000
101,1,3,2005-07-03,1120320000
102,1,1,2004-02-06,1075996800
103,1,5,2005-08-02,1122912000
104,1,5,2005-03-29,1112025600
105,1,4,2005-06-13,1118592000
106,1,3,2005-01-03,1104681600
107,1,5,2005-05-23,1116777600
108,1,2,2005-07-12,1121097600
109,1,3,2005-08-11,1123689600
110,1,5,2004-09-19,1095523200
111,1,5,2004-02-19,1077120000
112,1,5,2004-07-02,1088697600
